iter	Accuracy	Logloss
0	0.8314606742	0.6283688718
1	0.8202247191	0.5843974044
2	0.816011236	0.5488160083
3	0.8216292135	0.5187194407
4	0.8244382022	0.492055318
5	0.8258426966	0.4783261447
6	0.8426966292	0.4580653278
7	0.8483146067	0.438243862
8	0.845505618	0.4276469749
9	0.8651685393	0.4157938824
10	0.8693820225	0.4078910089
11	0.8679775281	0.3984504033
12	0.8735955056	0.3851676279
13	0.8721910112	0.3824513335
14	0.8721910112	0.3769937384
15	0.8707865169	0.3702195616
16	0.8637640449	0.3661534754
17	0.8707865169	0.3609502463
18	0.8665730337	0.3568092439
19	0.875	0.3529424454
20	0.8764044944	0.3511488774
21	0.8778089888	0.3457066564
22	0.8792134831	0.3441369131
23	0.8820224719	0.341844275
24	0.8806179775	0.3365462615
25	0.8806179775	0.3351382056
26	0.8806179775	0.3343236048
27	0.8806179775	0.33154169
28	0.8834269663	0.3286554018
29	0.8820224719	0.3257601932
30	0.8792134831	0.3231639858
31	0.8806179775	0.3183812097
32	0.8834269663	0.3143731512
33	0.8918539326	0.3120061117
34	0.8946629213	0.308539775
35	0.8946629213	0.3068249455
36	0.8960674157	0.3015614538
37	0.8960674157	0.2998557332
38	0.8960674157	0.298726959
39	0.8974719101	0.2962992759
40	0.8988764045	0.2944729031
41	0.8988764045	0.2929831784
42	0.9002808989	0.2905139215
43	0.9016853933	0.2891213906
44	0.9016853933	0.2880256805
45	0.9030898876	0.2865944542
46	0.9058988764	0.2846757642
47	0.9058988764	0.2846020643
48	0.904494382	0.2835166294
49	0.904494382	0.2810509251
50	0.9058988764	0.2776764763
51	0.9073033708	0.2763874134
52	0.9073033708	0.2757434691
53	0.904494382	0.2736433379
54	0.9087078652	0.2697635911
55	0.9087078652	0.2689691363
56	0.9087078652	0.2688132615
57	0.9101123596	0.2676221547
58	0.9101123596	0.2674069581
59	0.9101123596	0.2665386844
60	0.9073033708	0.2651094944
61	0.9115168539	0.2634992388
62	0.9101123596	0.2619456711
63	0.9115168539	0.2607178497
64	0.9129213483	0.2596942253
65	0.9143258427	0.2594181858
66	0.9157303371	0.2575308542
67	0.9157303371	0.2547703129
68	0.9157303371	0.254503718
69	0.9199438202	0.2516481306
70	0.9199438202	0.2502462792
71	0.9199438202	0.2479214384
72	0.922752809	0.2451596981
73	0.922752809	0.2445856532
74	0.922752809	0.2444944543
75	0.922752809	0.2423516295
76	0.9241573034	0.2409211281
77	0.9241573034	0.2408157529
78	0.9241573034	0.2403741296
79	0.9241573034	0.2402522578
80	0.9255617978	0.2390600842
81	0.9283707865	0.2373861008
82	0.9269662921	0.2360023689
83	0.9269662921	0.2352154286
84	0.9269662921	0.2348798032
85	0.9283707865	0.2344506213
86	0.9297752809	0.2341843871
87	0.9297752809	0.234066156
88	0.9283707865	0.2335303133
89	0.9297752809	0.2333764056
90	0.9297752809	0.2331477393
91	0.9311797753	0.2320230428
92	0.9311797753	0.231197667
93	0.9311797753	0.2311344185
94	0.9311797753	0.231008575
95	0.9297752809	0.2276813675
96	0.9311797753	0.2243699747
97	0.9311797753	0.2242213163
98	0.9325842697	0.2229483565
99	0.9325842697	0.2215472912
100	0.933988764	0.2196015925
101	0.933988764	0.2194521036
102	0.933988764	0.2188367378
103	0.933988764	0.2162219546
104	0.9367977528	0.2140396844
105	0.9382022472	0.2119577123
106	0.9382022472	0.2097159211
107	0.941011236	0.2069728286
108	0.941011236	0.2050872244
109	0.9438202247	0.2043413443
110	0.9438202247	0.2039068333
111	0.9438202247	0.2012403716
112	0.9438202247	0.2011678482
113	0.9452247191	0.1984487482
114	0.9452247191	0.1959447693
115	0.9452247191	0.1954544482
116	0.9452247191	0.1953523374
117	0.9466292135	0.1937614198
118	0.9466292135	0.1931149133
119	0.9466292135	0.1909116284
120	0.9466292135	0.1905609222
121	0.9466292135	0.1904777179
122	0.9480337079	0.1887975642
123	0.9480337079	0.1886887518
124	0.9494382022	0.1876579237
