iter	Passed	Remaining
0	63	631968
1	67	336154
2	70	234209
3	72	180791
4	74	149809
5	76	127962
6	78	112437
7	80	100666
8	82	91976
9	84	84602
10	86	78144
11	88	73367
12	90	69304
13	91	65069
14	92	61732
15	95	59360
16	98	57563
17	100	55838
18	102	53895
19	106	52894
20	109	52152
21	112	51132
22	113	49361
23	115	48041
24	117	46871
25	121	46524
26	123	45774
27	127	45260
28	129	44451
29	131	43657
30	133	42865
31	135	42106
32	138	41931
33	141	41538
34	145	41337
35	147	40779
36	149	40224
37	151	39610
38	155	39604
39	158	39398
40	160	39057
41	162	38548
42	165	38303
43	166	37719
44	168	37267
45	173	37465
46	176	37350
47	176	36677
48	179	36393
49	181	36037
50	183	35712
51	185	35424
52	188	35373
53	190	35074
54	192	34791
55	195	34628
56	196	34255
57	198	33994
58	200	33707
59	201	33419
60	206	33595
61	208	33491
62	210	33274
63	213	33081
64	215	32870
65	221	33341
66	224	33307
67	226	33145
68	228	32959
69	231	32776
70	232	32580
71	236	32552
72	238	32406
73	240	32228
74	242	32067
75	244	31990
76	247	31875
77	248	31646
78	252	31673
79	253	31490
80	257	31548
81	259	31398
82	261	31243
83	263	31150
84	265	30972
85	269	31091
86	271	30962
87	273	30850
88	275	30692
89	277	30560
90	279	30436
91	281	30268
92	283	30151
93	286	30229
94	290	30240
95	292	30225
96	295	30168
97	297	30101
98	301	30111
99	305	30237
100	308	30223
101	310	30116
102	313	30084
103	315	29999
104	319	30077
105	322	30145
106	326	30200
107	329	30193
108	333	30289
109	336	30255
110	339	30253
111	342	30269
112	345	30209
113	346	30087
114	355	30528
115	358	30518
116	360	30428
117	362	30323
118	370	30769
119	374	30844
120	376	30766
121	378	30654
122	381	30666
123	384	30615
124	387	30633
125	390	30631
126	393	30572
127	395	30483
128	397	30415
129	400	30403
130	403	30413
131	407	30435
132	409	30386
133	411	30303
134	417	30483
135	420	30491
136	424	30542
137	426	30467
138	428	30380
139	433	30539
140	436	30508
141	439	30545
142	442	30469
143	443	30367
144	448	30483
145	451	30489
146	454	30445
147	456	30383
148	458	30319
149	460	30243
150	463	30228
151	470	30495
152	473	30471
153	475	30371
154	477	30301
155	479	30271
156	482	30231
157	485	30222
158	489	30274
159	491	30219
160	493	30148
161	495	30082
162	497	30024
163	499	29955
164	501	29884
165	503	29811
166	505	29741
167	507	29686
168	509	29624
169	511	29583
170	513	29516
171	515	29454
172	517	29393
173	519	29333
174	521	29259
175	523	29204
176	524	29131
177	526	29070
178	528	29018
179	530	28960
180	532	28902
181	534	28849
182	536	28791
183	538	28734
184	540	28681
185	542	28628
186	544	28577
187	546	28530
188	548	28472
189	550	28415
190	552	28362
191	554	28302
192	556	28255
193	557	28194
194	561	28248
195	564	28261
196	569	28346
197	571	28299
198	573	28246
199	575	28187
200	577	28147
201	579	28103
202	581	28056
203	583	28008
204	585	27960
205	587	27918
206	589	27869
207	591	27843
208	593	27811
209	595	27773
210	597	27733
211	599	27695
212	601	27647
213	603	27608
214	605	27566
215	607	27531
216	609	27468
217	611	27424
218	613	27392
219	615	27347
220	617	27305
221	618	27263
222	620	27226
223	623	27189
224	624	27146
225	626	27115
226	629	27080
227	631	27047
228	633	27011
229	635	26979
230	636	26936
231	638	26893
232	640	26858
233	642	26830
234	644	26798
235	646	26765
236	648	26727
237	650	26691
238	652	26658
239	654	26627
240	656	26593
241	658	26548
242	660	26511
243	662	26482
244	665	26488
245	667	26453
246	668	26413
247	670	26377
248	673	26357
249	675	26328
250	677	26298
251	678	26263
252	681	26239
253	682	26190
254	684	26162
255	686	26134
256	688	26098
257	690	26069
258	692	26042
259	694	26003
260	696	25971
261	698	25944
262	699	25914
263	701	25888
264	704	25887
265	706	25857
266	708	25828
267	710	25809
268	712	25778
269	714	25755
270	716	25728
271	718	25701
272	720	25679
273	722	25650
274	724	25627
275	726	25595
276	728	25569
277	730	25551
278	732	25516
279	734	25490
280	736	25460
281	738	25432
282	740	25411
283	742	25387
284	744	25363
285	747	25390
286	749	25371
287	751	25344
288	753	25322
289	755	25297
