"Note","Description","key"
"5,0","après le chef doeuvre super héroïque the dark knight christopher nolan a carte blanche pour réaliser son prochain long métrage  il se met alors à la réalisation dun film co écrit avec son frère et qui a pour nom inception  le récit mélange la réalité et le rêve  le spectateur se méprend alors puis apprend à discerner le vrai du faux à trouver les clés du scénario  inception est un chef doeuvre  un véritable chef doeuvre  christopher nolan illustre son talent de par sa réalisation et son scénario  intelligence pure ce dernier se révèle complexe à première vue  puis au long du visionnage lon se rend peu à peu compte de sa force de sa puissance émotionnelle de sa capacité à brouiller les pistes  celles ci sont également éparpillées grâce à une mise en scène incroyable osant le grandiose et lintime  inception peut savérer être un blockbuster ultra visuel mais également un drame prenant puisque lintrigue principale est finalement le deuil  pour parfaire cette grande production nolan a recourt à un casting prestigieux  en tête daffiche leonardo dicaprio dans un rôle fort  lacteur se trouve être de loin à la hauteur puisquil insuffle beaucoup de charisme et de sentiments à son personnage  nous retrouvons également joseph gordon levitt jusque là peu célèbre ainsi que ellen page et michael caine qui tourne avec nolan depuis batman begins  hans zimmer compose la bande originale  cette dernière accompagne le film tout au long jouant sur le suspens de certaines scènes ou sur les fortes émotions qui sen dégagent time restant lune des meilleures musiques du compositeurs  avec inception christopher nolan montre une nouvelle fois quil est lun des cinéastes contemporains les plus talentueux  sappuyant sur des scénarios solides ses grosses productions se trouvent être des blockbusters intelligents étendards du cinéma de demain ",0
"5,0","souvent l’on peut manquer d’inspiration ou de motivation quand il s’agit d’écrire sur un film  quelle difficulté parfois à ne serait ce que décrire les émotions bien molles qu’on y a ressenti ou bien à chercher des arguments pour convaincre ou dissuader d’aller voir ce film ou pas… on en manque d’autant plus facilement de cette inspiration quand comme moi on s’empiffre d’une centaine de films par an pour la plupart identiques les uns aux autres au point que vous demandiez encore ce que le cinéma peut encore vous offrir    avec inception tout est tellement plus simple  les émotions interprétations frissons que l’on a en sortant du film sont tellement nombreux et diversifiés qu’on n’a que l’embarras du choix  on se dit d’ailleurs très vite qu’en choisir un parmi tant d’autre serait sacrilège et que finalement mieux vaut se taire et inviter simplement à ce que celui ou celle qui vous lit s’expose aveuglément à son tour à ce qui est du véritable cinéma créatif et original  combien de temps faudra t il pour que d’autres christopher nolan artistes de grand talent et à la sensibilité sans commune mesure puissent obtenir le pouvoir de s’autoproduire comme c’est le cas pour cet inception  car ne vous y trompez pas ici le grand nolan nous a encore pondu une œuvre ciselée pour exceller dans tous les domaines  captation de l’intrigue et de l’interprétation intelligence du propos dynamisme du rythme et de l’action beauté formelle et créativité visuelle  le spectacle est total  la démonstration est parfaite  peu reconnaissait avant « dark knight » l’envergure de nolan a être un maître du septième art mais désormais avec « inception » il s’est construit lui même son propre trône  alors chapeau bas votre majesté et long règne à vous si c’est pour continuer à m’éblouir ainsi   ",1
"5,0","chef d’œuvre  le film est absolument parfait  les acteurs sont tous excellent le scénario est génial et surtout très originale les effets spéciaux parfaits on reste concentré du début à la fin sans détourner une seule fois le regard de lécran un scénario complexe mais à la fois très simple à comprendre  le film est très bien rythmé accompagné dune musique tout simplement magique et qui reste dans notre tête un bon moment  un sensation de jamais vu avec ce film même si certains iront vraiment chercher la petite bête en disant que cest du déjà vu avec matrix  quoi quil arrive ce film ne peut laisser indifférent il permet au moins 4 hypothèses différentes concernant la fin et fait réfléchir un sacré bout de temps  le meilleur de christopher nolan avec the dark knight ",2
"3,5","le meilleur blockbuster de 2010 a pour thème la délicate différenciation entre les mondes réels et rêvés en créant des personnages utilisant une étrange technologie pour pénétrer et manipuler les rêves dautrui  tout le génie scénaristique des frères nolan repose sur l’explication qu’ils arrivent à donner à l’utilisation de cette science afin de clarifier la vision du film à priori incompréhensible  le réalisateur parvient en plus à faire planer un certain doute autour de la distinction entre le réel et limaginaire en particulier dans la scène de fin qui reste sujet à controverse tandis que les scènes où fusent les effets spéciaux impressionnants sont incontestablement oniriques  cette incertitude constante aurait pu être le point de départ à une vaste interrogation philosophique telle qu’elle fut exploitée dans matrix ou à la mise en place d’une sensation de paranoïa pesant un peu comme dans total recall mais ici l’intrigue se révèle finalement bien trop simple pour rendre le concept efficace et ne semble finalement être que le prétexte à une série de magnifiques effets visuels ",3
"5,0","un film aussi novateur que complexe dont la mise en scène touche la perfection nous congratulant de scènes daction mémorables et dun casting resplendissant  christopher nolan ne cesse de nous impressionner dabord par la bande son grandiose puis par sa maitrise du septième art ",4
"5,0","nolan est vraiment un génie  on lavait déjà entraperçu dans ces premiers films ça sétait avéré avec the dark knight et ça se confirme avec inception  inception nest pas un film réellement abordable il est complexe  cet aspect peut en dérouter certains ceux qui oseront sy aventurer plus dune fois seront ravis  nolan signe un pur chef doeuvre de science fiction mêlant habillement rêve réalité  dune main de maître il nous pose lentement son concept en prenant soin den explique toutes les subtilités afin que lon puisse comprendre ce quil en ressort  au final nolan en plus dêtre un sacré réalisateur est aussi un sacré scénariste car on sétonne quun être humain ait pu inventer à lui tout seul tout ce stratagème du subconscient et surtout que ça puisse tenir la route  là où dautres ont voulu essayer et se sont littéralement vautrés nolan réussit brillamment avec un talent fou maître de son projet quil aura mener de bout en bout et avec un perfectionnisme tel que son film est déjà considéré comme un chef doeuvre  en prime un leo dicaprio comme toujours excellent jai retenue le tallent de ellen page une actrice que jaime et la musique envoûtante de hans zimmer inception est un voyage initiatique dans un monde parallèle à ne rater sous aucun prétexte ",5
"5,0","christopher nolan est sûrement lun des seuls réalisateurs à ne pas avoir connu déchec  il la prouvé par le passé quil a sa place parmi les grands  son style innovateur et méticuleux fait de lui un des meilleurs réalisateur dhollywood  inception est un coup de maître  il nest pas parfait oui mais il est innovateur et même sil a des lacunes on ne peut que saluer la précision et la complexité du scénario  soit dit en passant le fait que      spoiler      les soldats tirent tout croche vient du fait que le rêve appartient à un membre du groupe et que ce dernier peut forcer la trajectoire des balles et cest tout à fait logique même si ça peut être vu comme une passe droit pour que les protagonistes sen tire    le fait intéressant avec le rêve cest quil      spoiler      peut pardonner une partie des incongruités du film car en fin de compte elles peuvent savérés logique    la performance des acteurs est brillante et les effets spéciaux sont au service du film et non pas linverse  bref ce film sinscrit dans la lignée des films qui cognent à la porte des chef doeuvre mais qui manquent juste un petit quelque chose  la matrice est philosophiquement totalement différent même si il part dune idée semblable mais ce dernier est toutefois pratiquement parfait  inception est quand à lui un film intelligent et différent qui enfin donne un nouveau souffle au cinéma hollywoodien  mais avec nolan cest une habitude  je le conseille à tous ça fait du bien davoir sur nos écran un film qui mélange intelligence et action blockbuster et essence artistique direction artistique incroyable et justifié ",6
"4,0"," inception  un film de science fiction très originale et inventif   le film raconte lhistoire de dom cobbs  leonardo dicaprio  et de son équipe qui sintroduisent dans le rêve dune personne pendant quil dort  cest a dire au moment ou le cerveau est le plus vulnérable  afin de récupèrer dans son subconscient  des informations top secrètes   sa sappelle lextraction dinformation   mais suite a une extraction qui a mal tourner dom cobbs se voit dans lobligation daccepter un nouveau contrat   cette fois ci sa mission ne sera plus de récupérer une information dans lesprit dune personne mais plutôt d introduire une idée dans son subconscient   la mission sannonce des plus périlleuse car ce genre dexpérience na jamais été tenter auparavant      inception  est un film de science fiction très originale et inventif devenu culte   le scénario est vraiment originale  mais très complexe  et fourmille didées inventif     spoiler        les rêves emboîter dans les rêves  les projections qui défendent le subconscient des intrus  les totems qui servent a savoir dans le rêve de qui on est et pour se rappeler quon rêve et quon nest pas dans la réalité comme la toupie qui narrête pas de tourner  larchitecte qui doit construire des rêves selon des règles bien précises          lhistoire est originale  et captivante celle dun groupe qui va sintroduire dans le rêve dune personne pendant quil dort pour introduire une idée dans son subconscient mais sa ne sera pas facile et sa va les embarquer dans une aventure incroyable remplit de suspense  de rebondissements et daction  dans un univers ètrange et hostile  celui des rêves   lhistoire  personelle  de dom cobbs avec sa femme est également très originale et touchante   le fait que sa femme ne sache plus si elle est dans un rêve ou dans la réalité et qu elle en arrive a confondre les deux   jai beaucoup aimer tout sa  les acteurs sont au top   commençons par leonardo dicaprio excellent  comme dhabitude  dans son rôle de dom cobbs le chef dune equipe dagent pas comme les autres qui a pour mission de sintroduire dans le rêve des gens pour recuperer dans leur subconscient des informations top secrete jusquau jour ou on lui confine la mission perilleuse dintroduire une idée dans le subconscient duns personne   le reste du casting est également génial avec nottament hèlen page  vu dans juno   joseph gordon levitt  vu dans the dark knight rises   tom hardy  bane dans batman 3  tous excellent dans le rôle des membres de léquipe  de dom cobbs   sans oublier notre  frenchie marion cotillard superbe dans le rôle de la femme de dom cobbs   elle joue superbement bien cette femme un peu deranger et très perturber suite a son experience dans le monde des rêves   elle est vraiment effrayante par moment   la musique est superbe et colle bien avec lambiance du film   la réalisation de christopher nolan est énorme   les effets spéciaux sont superbes et très réussit ainsi que les décors et donne vie a un univers merveilleux  celui des rêves  ou il fait bon de sy évader   lunivers des rêves est superbe et donne lieu a des scénes mémorables   la rue de paris qui se tord  et des lieux magnifique  la superbe ville que se sont construit léonardo dicaprio et marion cotillard sur la plage    visuellement on en prend plein la vue   les scénes dactions sont également superbes et originales nottament la séquence dans lhôtel avec le couloir qui se retourne et les personnages qui se battent en apesanteur   je regrette un peu que lunivers des rêves ne soit pas un peu plus pousser   jaurai aimer en voir plus   jaurai également voulu voir un peu plus daction a la matrix comme la scène a lhôtel un poil trop courte   mais ne boudons pas notre plaisir cest un très bon film de science fiction avec un casting de prestige   de plus la scène finale nous laisse totalement perplexe et nous fait cogiter bien après le film  une fin qui a beaucoup fait parler delle et qui a marquer les esprit et qui continue aujourdhui encore même après de nombreux visionage a nous intriguer et nous questionner   un film culte qui a marquer lhistoire du cinéma et qui a connu un grand succès en salle lors de sa sortie en 2010  plus de 5 millions dentrées   ",7
"5,0","un film époustouflantun de mes préférés  le scénario est intelligent et tient vraiment en haleineles acteurs sont tous très très bon la bo de hans zimmer est vraiment superbe la mise en scène de nolan vaut le coup et les scènes dactions sont génialessurtout dans lhôtel  du très grand cinéma ",8
"5,0","inception est avec the dark knight un des plus grands chef doeuvre de christopher nolan  je me demande encore comment il a pu créer un scénario aussi complexe et recherché avec seulement laide de son frère  le scénario est donc incroyablement maîtrisé du début à la fin et se révèle incroyablement inventif  la fin dailleurs nous laissera sur notre faim  cest pas un jeu de mots pourri   les scènes daction sont toutes aussi impressionnantes les unes que les autres et sont vraiment ultra dynamiques elles sont en plus accompagnées par des effets spéciaux à couper le souffle bons pour loscar et par une musique de hans zimmer terriblement puissante et efficace les acteurs sont tous excellents leonardo dicaprio est encore une fois sublime ellen page et joseph gordon levitt sont les deux révélations du film marion cotillard est également très convaincante tom hardy ken watanabe et cillian murphy néchappent pas non plus à la direction dacteurs excellente  inception est donc désormais un film culte ",9
