"Note","Description","key"
"4,0","un univers original dans ce film will smith joue parfaitement bien  il est super efficace dans le rôle dun flic désabusé  le scénario tient bien la route et les acteurs sont dynamiques  action et cascades sont bien entendu au rendez vous  le rythme du film est soutenu des petits brins dhumour viennent détendre latmosphère de temps en temps   sans être lourds pour autant  un très bon divertissement pas non plus un grand film ",0
"4,0","un très bon film de science fiction   lhistoire se déroule dans le futur en 2035   les robots sont devenu de parfaits assistants pour les êtres humains quils aident quotidiennement dans leurs tâches quotidiennes   un inspecteur de police nommer del spooner  will smith  enquête sur le meurtre mystérieux du docteur alfred lanning un chercheur en robotique   pour del spooner le principal suspect est un robot nommer sony   or si lon se fie au lois de la robotique les robots ne sont pas doter de la capacité de tuer   del spooner va alors tenter de résoudre toute cette mystérieuse affaire      alex proyas signe un très bon film de science fiction   le casting est très bon avec a sa tête will smith excellent dans le rôle de del spooner ce flic désabusé qui a la haine des robots depuis un accident quil a eu et qui va tenter de résoudre un meurtre mystérieux ou il est persuader quun robot a fait le coup    le scénario est très bien écrit et vraiment prenant et captivant   on est tenu en haleine devant cette enquête captivante ou on espère connaître le fin mot de lhistoire    un très bon film qui allie avec brio science fiction   enquête captivante  rebondissement  humour et action avec quelques scènes spectaculaire  la destruction de la maison  lattaque de la voiture de will smith par les robots  le combat finale    les effets spéciaux sont très réussit que se soit pour donner vie aux robots  très réaliste ou pour donner vie a ce superbe univers futuriste   un très bon divertissement  ",1
"4,0","après avoir longtemps entendu parler de ce film et lavoir étudié en cours danglais je me suis enfin décide à visionner i robot ce film qui met en scène un will smith au meilleur de sa forme dans une société futuriste ou les robots cohabitent avec les humains   ce film est sans doute le plus philosophique de tous les films de sf de lhistoire du cinéma   déjà ce film a un très bon scénario bien maîtrisé simple en apparence mais complexe car il pose plusieurs questions métaphysiques importante comme quel est le rôle du robot dans la société  un robot peut il penser  peut il vivre en harmonie avec les humain  ou nest il quune simple machine destinée à napporter que malheur et destruction à lhomme  qui de lhomme ou de la machine est le plus intelligent  cest avec des propos aussi pertinent que ce blockbuster est intéressant car ces propos justifient laction ici lintrigue ne se perd pas dans une succession de scènes de combats et dexplosions sans queue ni tête non ici laction est faîte pour donner un vrai sens à lintrigue et aux propos du réalisateur qui sest approprié à merveille des nouvelles comme robot dream disaac asimov une nouvelle qui met en scène deux jeune femmes scientifiques dont lune est justement le docteur calvin qui découvre quun robot a la capacité de penser   sinon sur laspect visuel cest très cool la ville de chicago du future est chouette avec plein de voitures volantes de nouveaux appareils plus performant on sent bien que le réalisateur sest fait plaisir à imaginer tous ça  en plus la musique superstition de stevie wonder est super cool et colle bien à cet univers un peu cyberpunk  les acteurs jouent très bien will smith se voit encore jouer le rôle du flic solitaire une sauce quon connaît bien notamment avec men in black son personnage est attachant notamment par son rapport avec les robots il représente lhumain qui a naturellement peur du changement apporté par le progrès  sonny lui incarne la complexité même des question porté sur les robots il cherche ses origines et naturellement sa valeur propre  le scénario penche plus vers un éloge et une potentielle compréhension entre les hommes et les intelligences artificielles quil représente ce qui nest pas le cas dans la nouvelle dasimov ou le robot rêve quil asservit les siens et devient le leader de cette révolution contre les 3 lois ne pas faire de mal aux humains obéir à leurs ordres et protéger son existence dans la mesure ou il nenfreint pas la première loi  ce film en plus de son aspect science fiction rajoute une dimension denquête comme dans les films policier ou will smith tient ici le rôle du sherlock holmes du future  bref i robot est un film de science fiction avec un propos très bien construit et maîtrisé qui en plus de nous en mettre plein la vue avec ses scènes daction spectaculaires nous offre une belle et profonde réflexion sur le robot et sa relation avec lhomme  un classique de la science fictionun  film à ne pas manquer  16 20",2
"4,0","un film de science fiction qui emprunte beaucoup aux romans disaac asimov et qui brille par des effets spéciaux de grande qualité et une intrigue originale et très bien ficelée  will smith joue très bien son role comme à laccoutumée  un excellent film donc ",3
"4,0","le dernier bébé de proyas en date inspiré directement dune nouvelle disaac asimovle réal nous offre un film daction intelligentcomposé dun scénario musclé projet pourtant risquéalex proyas na peur de rienet il a raison il a fait ses preuves avec dark city et il est plus un perfectionniste quun réalisateurdune exigence exemplairedoù une filmographie légère seule chose qui pouvait effrayerwill smith dans le role titrequi a toujours imposé son style dans ses interprétations à lexception de ali mais proyas le dirige dune main ferme et maitrisée au meme titre que michael mann pour jouer le biopic du célèbre boxer des effets spéciaux à couper le souffledes scènes daction incroyables cest tout ça i robotsur une note morale et le thème philosophique de la modernisationou comment les règles que lon établit se retournent contre nous la bande son est magnifiqueet proyas est probablement le seul à avoir su donner un vrai sensune vraie vieune existence   à un robotsonny fabuleux et culte ",4
"2,5","un film assez décevant  un début convaincant mais la suite du film baisse dintensité  une bonne idée de départ les robots et les effets spéciaux sont bien fait  mais le tout ne marche pas très bien  cela reste quand même un film distrayant à voir pour will smith  10 20",5
"4,0","jai été vraiment surpris  un très bon film de science fiction et de robots  les effets spéciaux sont géniaux  certaines scènes daction sont vraiment spectaculaire  will smith est excellent  il y a de bonnes musiques  lintrigue est bien mise en place  un film futuriste à voir ",6
"4,0","les enquêtes criminelles du prochain siècle  très bon long métrage de proyas avec un très convainquant will smith en tant que flic qui refuse daccorder toute confiance aux robots ",7
"3,0","jai été surpris de ce film il est pas mal du tout  ce monde futuriste est bien imaginé le scenario est excellent bien ficelé et lintrique est captivante  a part will smith et shia laboeuf les acteurs ne sont pas terribles  les scènes dactions sont pas mal et les robots sont très biens faits visuellement   irobot est un bon de film de science fiction que je conseille à tous de regarder ",8
"4,5","i robot  un film qui allie parfaitement la science fiction a l’univers soigné et l’action qui assure le grand spectacle  vraiment ce film nous offre un spectacle dynamique nerveux et bien huilé  grâce a un scénario et un univers soigné et cohérent  l’univers futuriste est très bon avec une superbe esthétique futuriste vraiment agréable avec les robots les voitures nouvelle génération…  et en plus il n’en abuse pas  ça reste amplement plausible et réaliste ce qui est vraiment excellent et permet aux spectateurs de bine d’identifier a tous ça  de plus le scénario est vraiment captivant et prenant du début jusquà la fin  avec un enquête et une chasse au robot rythmé comme ce n’est pas permis  vraiment il y a un très bon rythme on a l’impression que ça bouge toujours  car c’est l’histoire est bien dosé avec l’action et elle est surtout aussi bien ficelé  car on suit un inspecteur qui enquête sur un suicide du créateur des robots les plus perfectionnés  et il se pourrait qu’il ne se soit pas suicidé les robots qui se seraient rebellé contre lui      et comme je disais le scénario est captivant et cohérent avec une bonne critique de la société et de son univers  devrais t’on avoir confiance aux robots devrons t’on avoir peur de leur intelligence     et puis les personnages sont vraiment intéressant bien développé avec une bonne psychologie mais ils sont aussi attachant même le robot unique que l’on suit en devint attachant car il y a des vrais sentiments et éprouve même des émotions comme les humains  c’est assez bizarre a voir mais très intéressants  donc voila scénario maitrisé de toute pièce et ingénieux avec un excellent rythme et un parfait dosage sf action  et pour tout ça le film a le droit à une réalisation des plus efficaces  alex proyas aux commandes l’exceptionnelle et unique dark city et il nous réalise se film de façon très propre et très efficace  avec un soigne particulier a la mise en scène et aux effets spéciaux des plus réussit  avec des beaux jeux de caméra assez vertigineuse surtout vers les scènes d’action de fin  qui est vraiment remarquable  de plus on a le droit a des interprétations plus que convaincant et sans faille  surtout willis smith qui est toujours aussi bon et convaincant sans ce qu’il fait car c’est un excellent acteur  et les musiques pour finir sont très bonne et rythme bien le film  voila un film de sf des plus réussit grâce a son scénario et univers  et un film d’action bien rythmé avec de l’action qui assure le grand divertissement ",9
