Label,Text
2,"I've always loved this version of the ancient Arabian tale, Douglas Fairbanks was at the top of his game, lithe and energetic throughout the 148 minutes. There are various copies available, some better than others overall in various states of decomposition, but I haven't seen one better than the Thames Photoplay issue. A copy I've seen (regurgitated by Elstree Hill) has a whole chapter almost burnt up and a teeth-grindingly awful score, so if you're interested it'll probably pay to be careful.  Fairbanks spends the first 20 minutes scene-setting with plenty of stealing and acrobatics, then tries to steal from the Caliph of Bagdad but falls in love with his beautiful daughter instead. He then spends the remainder of the film as the Reformed Thief Of Bagdad, trying to win her. In this he's up against 3 rivals and they're all tasked with finding the greatest treasure to decide which one will marry her. The main role was split into two for the 1940 remake  he was certainly more animated than John Justin! Anna May Wong plays an evil traitor but confidante to the Princess, a role she reprised 10 years later in Chu-Chin-Chow the first film version of which appeared the year before this, and which provided some of the story here too. Some of the special effects still look good especially the flying carpet scenes and creating the million man army, but the rest for the main are primitive  however if you're unfortunate enough to see any of the laughable modern versions, maybe some with eye-splitting digital cartoonery too you'll realise special effects do not make a great movie. This has a great story, great sets, great atmosphere, is constantly inventive within the technological limitations and lives in the imagination long after it's finished. However if comparisons are possible between silent and sound films, I think Korda's version was something extra special and on another level altogether.  So if you care, dig out a good non-budget issue of this for a magical night's entertainment."
2,"This movie was Fantastic with Michael Madsen and Dennis hopper. The story is great,Excellent Action,Great Sex, I without a Doubt Loved this movie Because I love Michael Madsen He is the greatest Actor Ever! Especially In Reservoir Dogs Which I loved! It was Sad to see his character Die. Ed Anders Directing is Superb with Michael Roberts and Charles Durning. I loved the sex scene seeing her wonderful tits and ass. The shootouts were Fantastic with blood and Gore I love violence more than anything If you see this one buy it immediately Whatever the price mine cost $14.95 trust me its worth every penny of your money if you loved this one then you will love Jason goes to Hell which I loved it was fantastic"
2,"Two weeks prior to me writing this user-comment, the legendary Spanish actor, writer, director and reputed sleaze-ball Paul Naschy  a.k.a. Jacinto Molina  passed away from cancer. Even though I disliked and heavily bashed a lot of the films he starred in, including this ""The Werewolf and the Yeti"", I was still a big fan of his work and charismatic appearance and I hope that he'll rest in peace in the hereafter.   Anyway, unlike the cool titles such as ""Blue Eyes of the Broken Doll"", ""A Dragonfly for Each Corpse"" and the more recent and criminally underrated ""Rojo Sangre"", this clearly wasn't the best film to pay a personal little tribute to the departed euro-exploitation star. ""The Werewolf and the Yeti"" is an incoherent and inept mishmash of half- elaborated ideas and generally speaking just a load of rubbish, in fact. What happens if you sent a wolf man out on an expedition to the Himalayas to hunt down the abominable snowman? A very exhilarating and pleasantly deranged exploitation highlight, you'd expect, especially if you also throw in some lurid vampire women in a cave, evil Tibetan smugglers and an ancient myth about Genghis Kahn (*). Wrong! This actually is an infuriatingly boring and imbecilic film. None of Naschy's ""Hombre-Lobo"" flicks I've seen so far are any good, but this is really bottom-of-the-barrel, with unfinished story lines and truly pitiably poor production values. The werewolf transformations are laughable and the special effects deserve a poor zero out of ten rating. It's basically just a series of Naschy's face gradually getting hairier. It even somewhat looks like he's having a severe heart-attack whenever he transforms. Unless I'm mistaken, I also didn't spot any Yetis, Sasquatches, Bigfoots or whatever type of snowy monsters until very late in the film. And even if it does appear, it's very difficult to tell the difference between the werewolf and the yeti. Wasn't the abominable supposed to be snow-white? The dialogs are painfully poor and the even the sleaze footage is likely to put you to sleep. By the way, you know how to recognize a film scripted by Paul Naschy because he always foresees a sequence of him having sex with beautiful woman that would usually never fall for him. Mostly, he even has sex with multiple women at once.   (*) I was quite intoxicated when watching this film, so it's possible that I made some of those story lines up myself. In that case; my apologies."
2,"I`ve rented this film from my local video store under the title ""Shiver"".Until that moment I could never believe that it could exist such a bad movie.All the ingredients of the movie`s recipe are extremelly bad.The actors are playing terribly,the story is ridiculous,the technical part is awful and directing is unexistable.I am sure that I`ve never seen in my life worse movie than this and I am very curious how Philip Yordan ,a brilliant writer had participated in this. As I saw in credits the directors were three.Probably is required a special talent to make a combination of so many bad things.A miracle of bad taste!!!!!!!!!!!!!!!!!!!"
2,"From the first episode, to the last. In my opinion this is the best program to ever grace the television screen.  Its by far the funniest comedy, and certainly the best sci-fi comedy. The Americans try to emulate but fail miserably.  I don't understand the haters of series 7 and 8, there are some fantastic episodes, who doesn't like ace rimmer ? - And Krytie TV is a scream.  The show didn't go down hill from series 6, they just added the gorgeous kochanski, which may not have replaced rimmer but she certainly added something to the show.  I'm in two minds about the film, part of me really wants to see more, but the other part doesn't want to see an ""american-ised"" super special effects film which just isn't red dwarf. It looks like its been cancelled, and the chance of another series has the same odds of me stitching a pair of lemon maternity slacks.  Well it certainly is ""cold outside"" as i type this, so I'll say....  ""Stoke me a klipper, I'll be back for Christmas!"""
0,"Interesting film about an actual event that took place during the Civil War in Vermont. It kept my attention to the end and I don't regret viewing it. I haven't ever read any on this raid incident so I was curious to see if the rebels pulled it off. I enjoy historical films from that era.  My major complaint is with the Confederate uniforms. They look too good!!! The acting was a little stiff at times. I like the old man eating the mashed potatoes because he didn't have any teeth. The wounded soldier playing fetch with a hound was a little strange. Overall, it was a descent film."
2,"Golgo 13 is one of the most interesting anime movies, if you can get past the first half hour. That part of the movie is just to set up that Golgo is the ultimate assassine but the film makers already did that with the first look at Golgo. But once it gets rolling, get ready. It goes full throttle and never lets up. This movie contains one of the coolest shots ever, tracking a bullet Golgo fires through a building. The animation is a mix of hand drawn, comic book frames, and computer animation making it one of the most interesting movies to look at. This is a must see anime, along with Akira and Ninja Scroll. 10/10"
2,"What are accomplished actors like Ellen Burstyn, Peter Boyle, James McDaniel and Deirdre O'Connell doing in this piece of dreck? This is one of the worst-written things I've ever seen - it barely even rises to the level of cookie-cutter formula in its laziness (in the credits, the serial killer character is just called ""The Killer"" - the writer couldn't even be bothered to give him a name, never mind any background). The plot developments are laughable and absurd, the police are made to look completely incompetent, the psychic-ability angle is gratuitous and poorly used, and there is virtually no suspense to speak of. Kristin Davis and Matthew Settle are very attractive-looking leads, but their characters are boring ciphers. Avoid at all costs, especially if you are a fan of any of these actors."
2,"Intensly personal and moving documentary about the life and times of arguably one of the more well known porn stars - Annabel Chong.  The film covers the time during and following her world record of sleeping with 251 men in 10 hours. We see her preparation for the attempt, the attempt itself and the years following where she was afforded great fame but at a huge personal loss.  Annabel is a very intelligent woman; she studied and graduated from USC in 1998 and from her teachers accounts she is a very articulate writer and thinks very analytically. Its only when she tries to verbalise a lot of what she is thinking that we see the pain, the emotional torment that must be facing her every day of her life.  Her voice is one that seems to be on the verge of breaking down into total incomphrensibility - it falters, pauses and staggers along - fuelled a mind that is providing the information but the mouth cannot process it fast enough.  She is a tortured woman; you can see everyone of those 251 men in her eyes every time the conversation moves around to the record breaking feat. She often justifies it by calling it an experiment; one that shows the empowerment of women over men - she was showing that women can be just as agressive sexually as men.  But the price she has paid for it is great. She did not tell her parents for over two years that she was a porn actress. Though not filmed; the after effects of the revelation are shown graphically; her mother on the floor of her room packing Annabels bag, crying and moaning as she removes all trace of her daughter from her life.  There is a lot to this documentary that is worth discovering. Don't get it just for some mindless titalation - there is little of that during its 86 minute running time. What you do get though is a look into the human condition; a condition that craves acceptance amongst peers, a condition that believes it is in control of its own destiny.  A moving lesson for all.  8 out of 10.  "
0,"Thanks for killing the franchise with this turkey, John Carpenter and Tommy Lee Wallace. This movie sucks on so many levels it's pathetic. The first VAMPIRES was fun, but this low budget retread makes me yawn.  Jon Bon Jovi (the poor man's Kevin Bacon) drives around Mexico with a surfboard housing a hidden compartment holding his vampire killing gear ala Antonio Banderas's guitar case in DESPERADO. He picks up some lame ""hunters"" along the way (including an annoyingly feminist infected girl who takes pills to keep from turning into a vampire), and they set out to stop some female master vampire who is given no backstory and so we could care less about her or her quest (to walk in the sunlight by stealing the Black Cross and performing a ritual to allow her to do so). If you've seen the first VAMPIRES, you've already seen this, and done much better.  John Carpenter has been responsible for a lot of bad movies lately. Frankly, I think he's past his prime and incapable of making another horror classic. The only decent film he's done since THEY LIVE (1987) is VAMPIRES. Everything else is complete crap, right up until the unbelievably cheap looking and retarded GHOSTS OF MARS... and now this waste of celluloid. Where are more greats like ASSAULT ON PRECINCT 13, HALLOWEEN (1), ESCAPE FROM NEW YORK and THE THING?  Carpenter crony Wallace proves he can't write his way out of a paper bag with his paper-thin script packed with yawns, groans and recycled gags from the original. Did I mention I hated every character in the movie? There was not a single memorable character in the whole film. How does that happen? This film has nothing to recommend it. Not even the DVD presentation is good; the menu looks awful.  By comparison, JASON X: ""FRIDAY THE 13th IN SPACE"" was a masterpiece. Now that is how you make a sequel and (re)energize a franchise, ladies and germs, as well as create an exciting DVD menu."
2,"*possible spoilers*  Kevin Smith debut film is brilliant because it works on so many different levels. From budget limitations resulting in running gags -the closed shutters ""explaining"" the darkness on the store setting where in fact they could only shoot at night- to a series of funny customers episodes and even, well ""romantic"" story lines, the movie is based on a great script and works through the acting skills of its cast, especially Brian O'Halloran and Jeff Anderson.   In the end it's not just a great comedy, it actually manages to deliver something that can be called ""a message"", when, after main character Dante has survived possibly the worst day in his life, he has to admit that it wasn't all just bad luck but also a broad hint that he could/should change his life as a clerk."
2,"I had high hopes for this, as I thought the original was very innovative. Here, we get more of ""kind of"" the same, but not always. First, I thought the premise from the first movie was that in order to save yourself, you had to make a copy of the videotape.   ***POSSIBLE SPOILER***  I'll have to go back & review that part, because that wasn't necessarily what was implied in this film.  There were some very good scenes, especially the one involving deer (although I have to say, at one point I was reminded of the deer scene in ""Without a Paddle"", where a deer suddenly seems like he's growling at the actors!). Still, many things just didn't add up.  ***SPOILER***  When Aidan leaves the hospital, that's the last we see of any hospital involvement. They have a sick child missing & a dead doctor, & no one comes to the house looking for him or his mother?! It's like they introduced the hospital scenes solely to have Rachel accused of child abuse, & then they just drop the point.  Also, the whole premise of the first movie was that it was watching the videotape that caused death. Yet, other people die without having seen the movie. If Samara was that powerful, why did she wait so long to come after Rachel & Aiden? I thought Sissy Spacek was great (but then, she usually is), almost unrecognizable in fact. All in all, first half of the movie was very good, lots of tension; it just didn't seem to be able to sustain the plot or the horror. I give it a 4."
1,"I first encountered this show when I was staying in Japan for six months last year. I found it in the internet when I was looking for sub-titled dramas to help me with my Japanese. My host mother warned me to stay away from it because she thought it was weird, but I found it delightful! Koyuki showed such conflicting character traits and Matsujun's spirit made my day every time I tuned in! I first saw him on ""Hana Yori Dango"", but I liked him much better in this!  Although the characters are interesting and well-developed, I was disappointed to find that they didn't change very much throughout the show. Their relationship grew, but they didn't really. Still, a fun time had by all (Even for Fukushima!)."
0,"Writer-director Tony Piccirillo adapted his own play about a straight man, recently widowed, learning in the last three weeks he is HIV-positive; he tracks down the one homosexual partner he ever had, brings him to an apartment and ties him up, forcing a blood test on the guy and promising bloody revenge if the results come back positive. Intriguing idea sounds better on paper than it plays out. James Marsden's captive is realistically cynical and snotty, but the actor's own artificial mannerisms are disconcerting--it's like watching a roadshow version of Tom Cruise. Scott Speedman has to work harder with the more challenging role, but his personality-turn from shy guy to kidnapper-on-the-edge isn't convincing, and neither are the conversations the two men have. Marsden's gay party boy isn't apathetic, of course--he's momentarily sympathetic to Speedman's plight--but he doesn't react or behave the way any homosexual man would in this circumstance. The movie isn't a cop-out, exactly, but it is a fraud, handicapped further by the bad editing, the poorly-conceived flashbacks, the low-budget production, and the big finale which smacks of silly pretension and soapy melodrama. *1/2 from ****"
1,"I was literally preparing to hate this movie, so believe me when I say this film is worth seeing. Overall, the story and gags are contrived, but the film has the charm and finesse to pull them off. That gag where Jason Lee thinks he has crabs, and tries not to let his boss/future father-in-law and co-workers see him scratching himself isn't terribly intelligent, but it sent me into a frenzy of laughter. Very few of the film's gags are high-brow, but they made me laugh. As I said, the film has charm and charm can go a long way.   The characters are likable, too. I must say I wish I got to see more of James Brolin's character, since he was a hoot in the very few scenes he was in. Plus, I admire any romantic comedy that has the guts to not make the character of the wife (who serves as the obstacle in the plot) a total witch. The Selma Blair character is hardly unlikable, and there's never a scene where I thought to myself, ""Why did he want to marry her in the first place?"" The ending is Hollywood-ish, but it could've been much more schmaltzy.   The cast is talented. I haven't had a favorable view of most of Jason Lee's mainstream work. I just loved him so much in Kevin Smith's films that I couldn't help but feel disappointed at seeing him in these dopey roles. And he never looks comfortable in these dopey roles. Even in this movie, he doesn't look perfectly comfortable, but he contributes his own two cents and effectively handles each scene. But I still miss his work in independent films. Julia Stiles proves again why she's so damn likable. Of course, she's a very beautiful girl with a radiant smile that makes me want to faint, but she also possesses a unique charm and seems to have good personality. In other words, her beauty shows inside and out. I don't know the actresses' name, but the woman who plays the drunk granny is hilarious. Julie Hagerty also has a small part, and she's always enjoyable to watch, which makes me wish she received better roles. I loved her so much in ""Airplane"" and ""Lost in America"" that it's a shame she doesn't get the same opportunities to flaunt her skills.   Don't be put off by the horrible trailers and even more horrible box office records. This is a funny, charming film. Romantic comedies are getting so predictable nowadays that it feels like the genre itself is ready to be flushed down the toilet, so it's always to see a good one among all these bad apples.   My score: 7 (out of 10)"
