DATE/HEURE;NO;NO2;PM10;CO2;TEMP;HUMI
2016-09-07T15:00:00+02:00;12;37;175;628;27.9;41.6
2016-09-07T22:00:00+02:00;9;49;131;551;28.5;41.2
2016-09-08T12:00:00+02:00;35;57;228;561;27.7;43.8
2016-09-08T13:00:00+02:00;12;43;224;584;27.8;45.4
2016-09-08T17:00:00+02:00;11;32;215;666;28.5;45.3
2016-09-08T18:00:00+02:00;9;31;222;735;28.9;43.1
2016-09-08T21:00:00+02:00;9;34;192;590;28.6;36.7
2016-09-08T22:00:00+02:00;7;32;132;531;28.2;36.1
2016-09-09T04:00:00+02:00;8;35;72;399;25.6;40.0
2016-09-09T08:00:00+02:00;56;41;163;515;26.4;41.4
2016-09-09T17:00:00+02:00;11;47;;780;28.4;37.8
2016-09-09T20:00:00+02:00;11;49;214;727;29.0;36.0
2016-09-10T12:00:00+02:00;37;56;139;597;27.0;42.1
2016-09-10T23:00:00+02:00;20;40;129;536;28.0;40.8
2016-09-11T01:00:00+02:00;13;34;109;493;27.8;43.6
2016-09-11T09:00:00+02:00;7;14;96;424;26.6;55.6
2016-09-11T14:00:00+02:00;14;20;129;568;26.9;56.1
2016-09-11T19:00:00+02:00;15;30;142;631;27.9;50.8
2016-09-11T23:00:00+02:00;18;31;115;503;27.6;53.6
2016-09-12T04:00:00+02:00;17;23;198;421;26.4;56.7
2016-09-12T11:00:00+02:00;107;42;225;587;27.8;49.9
2016-09-12T13:00:00+02:00;47;43;207;610;28.1;46.5
2016-09-12T17:00:00+02:00;14;54;223;668;29.1;44.9
2016-09-12T18:00:00+02:00;13;52;227;737;29.4;44.7
2016-09-13T00:00:00+02:00;76;67;147;520;28.6;45.8
2016-09-13T07:00:00+02:00;24;48;99;459;27.4;47.9
2016-09-13T10:00:00+02:00;95;57;271;703;28.7;48.9
2016-09-13T13:00:00+02:00;39;54;224;602;28.6;48.8
2016-09-13T14:00:00+02:00;34;59;193;606;28.9;47.7
2016-09-13T23:00:00+02:00;15;55;141;506;29.3;44.7
2016-09-14T00:00:00+02:00;19;51;142;499;29.0;43.8
2016-09-14T04:00:00+02:00;17;35;143;413;27.7;43.8
2016-09-14T07:00:00+02:00;8;32;93;444;27.5;44.1
2016-09-14T14:00:00+02:00;11;47;194;614;28.6;43.0
2016-09-14T23:00:00+02:00;28;68;129;525;29.0;48.3
2016-09-15T00:00:00+02:00;16;48;134;504;28.7;48.0
2016-09-15T07:00:00+02:00;11;30;168;422;27.0;56.6
2016-09-15T16:00:00+02:00;30;40;205;643;28.5;50.3
2016-09-15T19:00:00+02:00;22;33;193;794;28.7;47.9
2016-09-15T20:00:00+02:00;24;36;197;723;28.7;46.1
2016-09-16T02:00:00+02:00;19;28;112;410;26.7;46.3
2016-09-16T04:00:00+02:00;8;20;105;392;26.4;48.7
2016-09-16T11:00:00+02:00;78;37;239;586;27.3;45.6
2016-09-16T18:00:00+02:00;17;33;234;837;28.3;46.9
2016-09-16T22:00:00+02:00;14;25;122;585;27.3;48.9
2016-09-17T07:00:00+02:00;8;16;63;425;25.4;44.9
2016-09-17T09:00:00+02:00;11;19;114;461;25.5;44.5
2016-09-17T11:00:00+02:00;14;21;125;544;25.7;44.9
2016-09-17T16:00:00+02:00;13;22;183;689;26.8;43.7
2016-09-17T18:00:00+02:00;36;27;183;770;26.9;44.2
2016-09-17T22:00:00+02:00;21;24;120;563;26.4;45.2
2016-09-18T07:00:00+02:00;16;17;42;425;24.8;47.5
2016-09-18T17:00:00+02:00;8;22;160;617;26.4;51.0
2016-09-19T04:00:00+02:00;5;12;38;397;24.6;52.8
2016-09-19T10:00:00+02:00;32;29;217;679;25.9;54.2
2016-09-19T11:00:00+02:00;34;33;203;573;25.7;53.6
2016-09-19T22:00:00+02:00;12;39;127;493;26.5;45.3
2016-09-20T00:00:00+02:00;10;30;101;462;26.1;46.9
2016-09-20T07:00:00+02:00;9;22;115;442;25.0;49.0
2016-09-20T11:00:00+02:00;82;38;214;581;26.0;47.1
2016-09-21T14:00:00+02:00;33;44;198;613;26.1;39.3
2016-09-21T18:00:00+02:00;27;50;212;806;27.2;39.4
2016-09-21T22:00:00+02:00;47;71;144;562;26.7;38.7
2016-09-22T01:00:00+02:00;101;71;163;516;25.8;41.9
2016-09-22T03:00:00+02:00;78;49;;456;25.1;46.8
2016-09-22T08:00:00+02:00;113;41;168;590;25.0;46.4
2016-09-22T10:00:00+02:00;138;48;253;749;25.8;45.0
2016-09-22T11:00:00+02:00;166;56;245;632;25.8;43.6
2016-09-22T13:00:00+02:00;119;60;218;658;26.2;43.8
2016-09-22T14:00:00+02:00;53;62;176;618;26.2;41.5
2016-09-22T19:00:00+02:00;16;54;195;815;27.6;39.4
2016-09-22T21:00:00+02:00;25;66;163;638;27.1;38.9
2016-09-23T00:00:00+02:00;46;64;126;519;26.3;40.7
2016-09-23T11:00:00+02:00;49;44;229;554;25.9;45.0
2016-09-23T20:00:00+02:00;15;52;217;779;28.0;40.3
2016-09-24T00:00:00+02:00;84;77;141;575;26.7;42.4
2016-09-24T01:00:00+02:00;85;77;151;558;26.5;43.3
2016-09-24T05:00:00+02:00;49;54;55;465;24.9;45.9
2016-09-24T16:00:00+02:00;6;34;197;789;27.4;38.4
2016-09-24T17:00:00+02:00;6;33;182;881;27.8;37.9
2016-09-25T00:00:00+02:00;25;58;127;571;26.7;37.5
2016-09-25T12:00:00+02:00;5;23;128;544;25.4;46.3
2016-09-25T13:00:00+02:00;6;25;141;610;25.6;51.0
2016-09-25T16:00:00+02:00;6;17;128;616;25.9;45.4
2016-09-25T22:00:00+02:00;5;27;115;516;25.9;36.9
2016-09-26T00:00:00+02:00;5;27;120;482;25.5;37.1
2016-09-26T01:00:00+02:00;6;32;140;454;25.2;37.5
2016-09-26T03:00:00+02:00;6;30;137;415;24.7;38.6
2016-09-26T13:00:00+02:00;54;45;206;580;25.5;40.1
2016-09-26T19:00:00+02:00;13;37;189;781;27.1;34.9
2016-09-27T06:00:00+02:00;18;35;29;409;23.8;41.1
2016-09-27T07:00:00+02:00;34;34;71;451;24.2;41.0
2016-09-27T09:00:00+02:00;108;42;224;678;25.0;41.8
2016-09-27T10:00:00+02:00;119;41;271;672;25.4;40.4
2016-09-27T13:00:00+02:00;61;51;185;565;25.7;36.7
2016-09-27T14:00:00+02:00;32;47;169;565;25.8;36.4
2016-09-27T22:00:00+02:00;21;57;149;507;26.7;35.5
