iter	Logloss
0	0.6169810223
1	0.5642923835
2	0.5149680361
3	0.4899001449
4	0.4681425839
5	0.4606203933
6	0.4556276585
7	0.4437673181
8	0.4362971303
9	0.4287625481
10	0.4239792373
11	0.4172069524
12	0.4114341784
13	0.4070806982
14	0.4055706971
15	0.4037981877
16	0.3998308834
17	0.3997722837
18	0.3977915167
19	0.394748141
20	0.3928927158
21	0.3917527255
22	0.3906259139
23	0.3884332566
24	0.3881641708
25	0.3869550714
26	0.3867582696
27	0.3860750071
28	0.3846468389
29	0.3831243501
30	0.382380654
31	0.3819170507
32	0.3818001368
33	0.3814769357
34	0.3814176964
35	0.3807252739
36	0.3807252257
37	0.3807251927
38	0.3806127212
39	0.380529415
40	0.3805293748
41	0.3801427439
42	0.3800061262
43	0.3794498209
44	0.3789933511
45	0.3785707064
46	0.3780973411
47	0.3769127275
48	0.3768114661
49	0.3763519209
50	0.3759765998
51	0.3758130352
52	0.374425075
53	0.373991266
54	0.3731658002
55	0.3724996048
56	0.3676238136
57	0.3666470778
58	0.3659085673
59	0.3618204737
60	0.3604576926
61	0.3587346739
62	0.357794506
63	0.3566686355
64	0.3554820679
65	0.3551918303
66	0.3542804022
67	0.3534632169
68	0.3525324669
69	0.3516315016
70	0.3515126411
71	0.3498310556
72	0.3489699971
73	0.3487514098
74	0.3467651094
75	0.3462388443
76	0.3456653989
77	0.344423739
78	0.3422257866
79	0.3388788171
80	0.3379770035
81	0.3373889513
82	0.3335867771
83	0.3333517599
84	0.3311460246
85	0.3294513812
86	0.32911173
87	0.3268368565
88	0.3266191102
89	0.3235911754
90	0.3235032532
91	0.3228861942
92	0.3216757361
93	0.3207431333
94	0.3188807048
95	0.3147081868
96	0.3146563691
97	0.314400568
98	0.3135717534
99	0.3123773282
100	0.3108393383
101	0.3084540627
102	0.3067677677
103	0.3058925103
104	0.3049928864
105	0.3027367196
106	0.3013529992
107	0.2992940022
108	0.2987640848
109	0.2978576701
110	0.2972757449
111	0.2967600714
112	0.2965514078
113	0.2941778354
114	0.2933178091
115	0.2912969346
116	0.2900928134
117	0.289867361
118	0.289837011
119	0.2890481439
120	0.28876416
121	0.2885030404
122	0.2883560614
123	0.2883511677
124	0.2882374581
125	0.2873763866
126	0.286091386
127	0.2854709701
128	0.2845499794
129	0.2839789742
130	0.2837266761
131	0.2837073787
132	0.2832877924
133	0.2827132499
134	0.2824377204
135	0.2817406014
136	0.2805086193
137	0.2803395479
138	0.2803258141
139	0.2785883044
140	0.2776110747
141	0.2768572759
142	0.2763872864
143	0.2761874832
144	0.2749028902
145	0.2726173114
146	0.2724153204
147	0.2718467212
148	0.2698207644
149	0.2693027728
150	0.2686797459
151	0.2682378785
152	0.2681978974
153	0.2680978148
154	0.2676762075
155	0.2666921232
156	0.2657906763
157	0.2657147023
158	0.2654897455
159	0.2654664378
160	0.2649024988
161	0.2648524437
162	0.2648361072
163	0.264814129
164	0.264421554
165	0.2631798141
166	0.2631201433
167	0.2629099049
168	0.2589477062
169	0.2577481082
170	0.2565658086
171	0.25603946
172	0.2547562287
173	0.2542399427
174	0.2530445043
175	0.251328835
176	0.2510387402
177	0.2503975805
178	0.2494934084
179	0.2491753517
180	0.2487293156
181	0.2481734334
182	0.2477541835
183	0.2476244868
184	0.247277703
185	0.2470338133
186	0.2470223107
187	0.2467824704
188	0.2467399205
189	0.2455758005
190	0.2454008305
191	0.2442876413
192	0.2437307716
193	0.2432572821
194	0.2430694031
195	0.2429586224
196	0.2419927374
197	0.2417108714
198	0.2412961101
199	0.2409352247
200	0.2404818895
201	0.2400362077
202	0.2396108449
203	0.2391776098
204	0.2391082991
205	0.2386551396
206	0.2381816426
207	0.2379251284
208	0.2368248296
209	0.2364045334
210	0.2363717022
211	0.2354939089
212	0.2353548777
213	0.2349972071
214	0.2348528517
215	0.2342977311
216	0.2341418819
217	0.2334391334
218	0.2330830709
219	0.2325062371
220	0.2319488171
221	0.2316196569
222	0.2315791045
223	0.2314271585
224	0.2300319335
225	0.2300039888
226	0.22927446
227	0.2292341057
228	0.2289278714
229	0.2289144892
230	0.2287010757
231	0.2283335624
232	0.2282823723
233	0.2281732151
234	0.2272979027
235	0.2272685332
236	0.2270644153
237	0.2269793112
238	0.2269548785
239	0.226947636
240	0.2269215614
241	0.2266741691
242	0.2264843526
243	0.2264603094
244	0.2257893316
245	0.2244473583
246	0.2243741801
247	0.2243629233
248	0.2243258567
249	0.2240111292
250	0.2220611615
251	0.2219257674
252	0.2218876283
253	0.2217219687
254	0.2216811983
255	0.2213794469
256	0.2211938718
257	0.2211242866
258	0.2209424
259	0.2209274974
260	0.2209095595
261	0.2209093839
262	0.2208795481
263	0.2208676667
264	0.2208453466
265	0.2207221629
266	0.2206421263
267	0.220629247
268	0.2206166495
269	0.2205605222
270	0.220198567
271	0.2199392557
272	0.2194847571
273	0.2186272056
274	0.2180562793
275	0.2179021677
276	0.2177850316
277	0.217305083
278	0.2172617905
279	0.2167603286
280	0.2167221127
281	0.2166003965
282	0.2156719792
283	0.2155526564
284	0.2155257404
285	0.2152338254
286	0.2151609995
287	0.2149725616
288	0.2138582526
289	0.2138182992
290	0.2136099859
291	0.2134456449
292	0.2131103531
293	0.21212455
294	0.212036689
295	0.2110447463
296	0.2109427327
297	0.2104739008
298	0.2104607694
299	0.2102967893
300	0.2100256839
301	0.2100189025
302	0.2099897014
303	0.2096557412
304	0.2094995854
305	0.2094920016
306	0.2092617875
307	0.2090373919
308	0.2090169435
309	0.2086480717
310	0.2086355684
311	0.2081786167
312	0.2076862551
313	0.2074536628
314	0.2060408353
315	0.2060065051
316	0.2059957799
317	0.2054432749
318	0.2051994297
319	0.2049774928
320	0.2049587653
321	0.2045379845
322	0.204524523
323	0.2044245744
324	0.2041538391
325	0.2029865793
326	0.202006184
327	0.2015826985
328	0.2012063192
329	0.1998159044
330	0.199662718
331	0.1994578702
332	0.1988518296
333	0.1987874593
334	0.1987271253
335	0.198702942
336	0.1983658602
337	0.1982179906
338	0.1963863686
339	0.1961207182
340	0.1959389705
341	0.1958741552
342	0.1958684687
343	0.195455388
344	0.1953998091
345	0.1946502371
346	0.1946429925
347	0.1945346557
348	0.1941644274
349	0.1941395935
350	0.1940350858
351	0.1938323969
352	0.1938062298
353	0.1936666277
354	0.1935792895
355	0.1935051123
356	0.1934993447
357	0.1934933093
358	0.1929253238
359	0.192677292
360	0.1926431427
361	0.1925176032
362	0.192496108
363	0.1924721173
364	0.1924453385
365	0.1922887413
366	0.1921916546
367	0.1920774061
368	0.1920391448
369	0.1915060765
370	0.1914889804
371	0.1913821322
372	0.1907401828
373	0.1905905368
374	0.1901481537
375	0.1900501384
376	0.1899319993
377	0.1898984256
378	0.188646462
379	0.1884876777
380	0.1882372984
381	0.1878373031
382	0.1877886159
383	0.1877380022
384	0.1877333997
385	0.1873940978
386	0.1855847912
387	0.1855487419
388	0.185424299
389	0.1852047554
390	0.1851991903
391	0.1850452709
392	0.1848832246
393	0.1844091104
394	0.1843166983
395	0.1839374642
396	0.1838267917
397	0.1837820955
398	0.1836219557
399	0.18258838
400	0.1824735073
401	0.1823454916
402	0.1822139859
403	0.1818977339
404	0.1818780962
405	0.1817054724
406	0.1816658293
407	0.1816068359
408	0.1804365826
409	0.1803933393
410	0.1801662112
411	0.1801483713
412	0.1800387572
413	0.1792323256
414	0.1785010663
415	0.1781918968
416	0.1780130957
417	0.1779469137
418	0.1777133359
419	0.1777098729
420	0.1776761648
421	0.1775385636
422	0.1774386267
423	0.1767720825
424	0.1766178179
425	0.1766019586
426	0.1765739646
427	0.1762456749
428	0.1760867297
429	0.1760586634
430	0.1760466515
431	0.175210158
432	0.1751819122
433	0.1750961557
434	0.1750928193
435	0.1750927927
436	0.1750252665
437	0.1749480823
438	0.1749357641
439	0.174725136
440	0.1745238862
441	0.1744335861
442	0.1744244187
443	0.1744182937
444	0.1735603757
445	0.1735551017
446	0.173529354
447	0.1734463522
448	0.1732815984
449	0.1729410488
450	0.1729070794
451	0.1728956876
452	0.1716679365
453	0.1715560337
454	0.171544685
455	0.1714319056
456	0.169853413
457	0.169677321
458	0.1696697843
459	0.1696354384
460	0.1694467005
461	0.1694077379
462	0.1690740838
463	0.1688924641
464	0.1687507368
465	0.1685942997
466	0.1685247629
467	0.1684845386
468	0.1684773531
469	0.1684407844
470	0.168431555
471	0.1684099732
472	0.1681928843
473	0.1681653904
474	0.1680679646
475	0.1680616718
476	0.1680247138
477	0.1678258345
478	0.1678204356
479	0.1678085589
480	0.1677984198
481	0.1673423095
482	0.1671910508
483	0.1670862101
484	0.1670844819
485	0.1670526406
486	0.1670488883
487	0.1667925321
488	0.1667889621
489	0.1663331902
490	0.1657817877
491	0.1656491826
492	0.1651429634
493	0.1648781654
494	0.1648513311
495	0.1648209183
496	0.164764065
497	0.1647201632
498	0.1647046073
499	0.1646572636
