iter	Passed	Remaining
0	3	1637
1	8	2008
2	20	3454
3	24	3047
4	29	2886
5	32	2652
6	35	2469
7	103	6381
8	110	6019
9	116	5728
10	120	5375
11	125	5084
12	131	4944
13	135	4706
14	139	4507
15	143	4338
16	177	5046
17	180	4825
18	184	4664
19	188	4528
20	192	4379
21	195	4238
22	198	4127
23	210	4181
24	214	4073
25	218	3990
26	224	3928
27	231	3896
28	236	3837
29	242	3798
30	246	3725
31	249	3649
32	251	3565
33	256	3520
34	259	3453
35	264	3415
36	266	3337
37	268	3261
38	271	3207
39	274	3155
40	276	3096
41	279	3049
42	282	3005
43	287	2975
44	291	2948
45	294	2907
46	297	2868
47	303	2860
48	308	2835
49	311	2802
50	315	2774
51	318	2748
52	389	3286
53	393	3253
54	397	3217
55	408	3238
56	480	3735
57	497	3787
58	501	3751
59	571	4188
60	579	4170
61	589	4162
62	594	4126
63	599	4081
64	632	4230
65	639	4205
66	708	4581
67	722	4591
68	753	4705
69	818	5028
70	822	4967
71	858	5102
72	932	5457
73	938	5402
74	1007	5710
75	1041	5811
76	1115	6125
77	1182	6395
78	1256	6693
79	1339	7029
80	1422	7360
81	1497	7635
82	1565	7863
83	1642	8135
84	1722	8407
85	1803	8683
86	1879	8920
87	1946	9113
88	2012	9292
89	2075	9456
90	2079	9348
91	2143	9507
92	2208	9666
93	2282	9860
94	2347	10008
95	2409	10139
96	2423	10068
97	2493	10228
98	2567	10398
99	2635	10543
100	2709	10703
101	2779	10846
102	2851	10991
103	2928	11151
104	2998	11281
105	3068	11406
106	3140	11536
107	3215	11671
108	3298	11830
109	3373	11959
110	3437	12045
111	3510	12162
112	3579	12260
113	3654	12375
114	3723	12464
115	3785	12532
116	3853	12613
117	3913	12669
118	3917	12542
119	3979	12602
120	4043	12666
121	4106	12722
122	4170	12782
123	4175	12661
124	4239	12718
125	4305	12780
126	4370	12836
127	4435	12890
128	4497	12935
129	4559	12978
130	4623	13024
131	4686	13064
132	4750	13108
133	4816	13155
134	4881	13199
135	4943	13230
136	5007	13267
137	5074	13310
138	5106	13262
139	5170	13296
140	5234	13328
141	5302	13367
142	5367	13398
143	5427	13417
144	5488	13437
145	5552	13464
146	5615	13484
147	5677	13503
148	5739	13520
149	5807	13549
150	5868	13562
151	5929	13575
152	5961	13521
153	6028	13545
154	6089	13553
155	6150	13562
156	6210	13569
157	6274	13581
158	6336	13589
159	6350	13495
160	6415	13509
161	6477	13515
162	6482	13401
163	6488	13293
164	6550	13299
165	6612	13304
166	6673	13306
167	6708	13258
168	6771	13261
169	6833	13265
170	6895	13267
171	6960	13273
172	7024	13277
173	7089	13282
174	7153	13285
175	7221	13294
176	7285	13295
177	7352	13300
178	7416	13300
179	7482	13302
180	7547	13301
181	7614	13304
182	7688	13318
183	7757	13322
184	7822	13319
185	7888	13316
186	7959	13323
187	8023	13315
188	8110	13346
189	8177	13342
190	8240	13331
191	8305	13322
192	8379	13328
193	8450	13328
194	8515	13318
195	8578	13305
196	8642	13292
197	8707	13280
198	8773	13270
199	8844	13267
200	8904	13246
201	8967	13229
202	9031	13214
203	9100	13204
204	9167	13191
205	9234	13179
206	9302	13167
207	9372	13157
208	9435	13137
209	9499	13118
210	9562	13097
211	9627	13078
212	9689	13055
213	9752	13033
214	9814	13010
215	9880	12990
216	9949	12975
217	10019	12961
218	10085	12941
219	10151	12920
220	10223	12906
221	10294	12890
222	10298	12791
223	10373	12781
224	10446	12767
225	10461	12683
226	10537	12672
227	10573	12614
228	10642	12594
229	10646	12497
230	10714	12476
231	10777	12450
232	10843	12425
233	10906	12397
234	10974	12375
235	10979	12282
236	11041	12252
237	11113	12233
238	11187	12217
239	11196	12129
240	11229	12068
241	11301	12049
242	11371	12026
243	11432	11994
244	11493	11963
245	11557	11933
246	11620	11902
247	11651	11839
248	11719	11813
249	11792	11792
250	11867	11772
251	11953	11763
252	12035	11749
253	12122	11740
254	12197	11719
255	12272	11697
256	12347	11674
257	12421	11651
258	12486	11619
259	12497	11536
260	12562	11503
261	12565	11414
262	12630	11381
263	12636	11296
264	12700	11262
265	12765	11230
266	12835	11200
267	12871	11142
268	12938	11110
269	13010	11083
270	13079	11052
271	13147	11020
272	13219	10992
273	13283	10956
274	13346	10920
275	13409	10883
276	13473	10846
277	13535	10808
278	13595	10769
279	13662	10734
280	13726	10697
281	13789	10660
282	13850	10620
283	13917	10584
284	13980	10546
285	14045	10509
286	14113	10474
287	14184	10441
288	14251	10405
289	14317	10367
290	14384	10331
291	14450	10293
292	14515	10255
293	14581	10216
294	14651	10181
295	14720	10145
296	14786	10106
297	14854	10069
298	14863	9991
299	14929	9952
300	14994	9913
301	15061	9874
302	15126	9834
303	15191	9794
304	15262	9758
305	15271	9681
306	15340	9644
307	15418	9611
308	15485	9572
309	15554	9533
310	15620	9492
311	15691	9455
312	15760	9415
313	15824	9373
314	15890	9332
315	15960	9293
316	15968	9218
317	16031	9175
318	16094	9131
319	16158	9089
320	16229	9050
321	16313	9018
322	16390	8981
323	16456	8939
324	16527	8899
325	16592	8856
326	16656	8812
327	16719	8767
328	16783	8723
329	16847	8679
330	16909	8633
331	16970	8587
332	17032	8542
333	17097	8497
334	17159	8451
335	17221	8405
336	17283	8359
337	17346	8313
338	17413	8269
339	17473	8222
340	17534	8175
341	17598	8130
342	17602	8057
343	17677	8016
344	17744	7972
345	17811	7927
346	17816	7855
347	17884	7811
348	17950	7766
349	18014	7720
350	18077	7673
351	18164	7637
352	18233	7592
353	18298	7546
354	18360	7499
355	18429	7454
356	18438	7385
357	18469	7326
358	18532	7278
359	18610	7237
360	18644	7179
361	18711	7133
362	18778	7087
363	18872	7051
364	18941	7005
365	19008	6959
366	19072	6911
367	19136	6864
368	19142	6795
369	19210	6749
370	19279	6703
371	19350	6658
372	19427	6614
373	19504	6570
374	19577	6525
375	19643	6478
376	19708	6430
377	19783	6385
378	19860	6340
379	19947	6299
380	20029	6255
381	20102	6209
382	20173	6162
383	20262	6121
384	20307	6065
385	20401	6025
386	20491	5983
387	20571	5938
388	20640	5889
389	20710	5841
390	20786	5794
391	20874	5751
392	20959	5706
393	21041	5660
394	21115	5612
395	21185	5563
396	21274	5519
397	21366	5475
398	21450	5429
399	21530	5382
400	21610	5335
401	21700	5290
402	21776	5241
403	21849	5192
404	21915	5140
405	21980	5089
406	22042	5036
407	22105	4984
408	22169	4932
409	22237	4881
410	22302	4829
411	22366	4777
412	22432	4725
413	22508	4675
414	22586	4626
415	22653	4574
416	22717	4521
417	22789	4470
418	22860	4419
419	22874	4356
420	22941	4304
421	23005	4252
422	23067	4199
423	23131	4146
424	23209	4095
425	23227	4034
426	23290	3981
427	23356	3929
428	23424	3876
429	23508	3826
430	23579	3774
431	23649	3722
432	23718	3670
433	23788	3617
434	23792	3555
435	23794	3492
436	23858	3439
437	23923	3386
438	23987	3333
439	24050	3279
440	24118	3226
441	24188	3174
442	24266	3122
443	24338	3069
444	24409	3016
445	24487	2964
446	24557	2911
447	24624	2858
448	24693	2804
449	24772	2752
450	24781	2692
451	24841	2638
452	24907	2584
453	24982	2531
454	25051	2477
455	25122	2424
456	25189	2370
457	25257	2316
458	25325	2262
459	25409	2209
460	25491	2156
461	25568	2103
462	25644	2049
463	25722	1995
464	25791	1941
465	25860	1886
466	25926	1832
467	25989	1777
468	25994	1718
469	26057	1663
470	26125	1608
471	26187	1553
472	26252	1498
473	26324	1443
474	26389	1388
475	26454	1333
476	26516	1278
477	26580	1223
478	26592	1165
479	26650	1110
480	26658	1053
481	26720	997
482	26789	942
483	26854	887
484	26869	831
485	26932	775
486	26946	719
487	27013	664
488	27079	609
489	27142	553
490	27212	498
491	27278	443
492	27344	388
493	27416	332
494	27485	277
495	27550	222
496	27615	166
497	27682	111
498	27692	55
499	27756	0
