Date,FR Tot Cas Confirmés,FR Tot Décès,FR Tot Guéris,FR Tot Hospitalisés,Source,WW Tot Cas Confirmés,WW Tot Décès,FR Nvx cas confirmés,FR Nvx Décès,FR Nvx Guéris,FR Nvx Hospitalisés
2020-01-24,3.0,0.0,3.0,0.0,sante-publique-france,897.0,26.0,0.0,0.0,0.0,0.0
2020-01-25,3.0,0.0,0.0,0.0,sante-publique-france,1329.0,41.0,0.0,0.0,0.0,0.0
2020-01-26,3.0,0.0,0.0,0.0,sante-publique-france,2026.0,56.0,0.0,0.0,0.0,0.0
2020-01-27,3.0,0.0,3.0,0.0,sante-publique-france,2820.0,81.0,0.0,0.0,3.0,0.0
2020-01-28,4.0,0.0,4.0,0.0,sante-publique-france,0.0,0.0,1.0,0.0,1.0,0.0
2020-01-29,5.0,0.0,5.0,0.0,sante-publique-france,6072.0,132.0,1.0,0.0,1.0,0.0
2020-01-30,6.0,0.0,6.0,0.0,sante-publique-france,7790.0,170.0,1.0,0.0,1.0,0.0
2020-01-31,6.0,0.0,6.0,0.0,sante-publique-france,9831.0,213.0,0.0,0.0,0.0,0.0
2020-02-01,6.0,0.0,6.0,0.0,no-data,9831.0,213.0,0.0,0.0,0.0,0.0
2020-02-02,6.0,0.0,6.0,0.0,ministere-sante,14600.0,305.0,0.0,0.0,0.0,0.0
2020-02-03,6.0,0.0,6.0,0.0,sante-publique-france,17383.0,362.0,0.0,0.0,0.0,0.0
2020-02-04,6.0,0.0,6.0,0.0,ministere-sante,20700.0,427.0,0.0,0.0,0.0,0.0
2020-02-05,6.0,0.0,6.0,0.0,sante-publique-france,24530.0,493.0,0.0,0.0,0.0,0.0
2020-02-06,6.0,0.0,0.0,0.0,sante-publique-france,28284.0,565.0,0.0,0.0,0.0,0.0
2020-02-07,11.0,0.0,6.0,0.0,sante-publique-france,31503.0,638.0,5.0,0.0,6.0,0.0
2020-02-08,11.0,0.0,11.0,0.0,sante-publique-france,34945.0,724.0,0.0,0.0,5.0,0.0
2020-02-09,11.0,0.0,11.0,0.0,ministere-sante,37592.0,814.0,0.0,0.0,0.0,0.0
2020-02-10,11.0,0.0,11.0,0.0,sante-publique-france,40553.0,910.0,0.0,0.0,0.0,0.0
2020-02-11,11.0,0.0,0.0,0.0,sante-publique-france,43118.0,1018.0,0.0,0.0,0.0,0.0
2020-02-12,11.0,0.0,9.0,2.0,sante-publique-france,45179.0,1116.0,0.0,0.0,9.0,2.0
2020-02-13,11.0,0.0,8.0,3.0,ministere-sante,60363.0,1371.0,0.0,0.0,0.0,1.0
